RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE
140,Kyle Stanley,33,20,53,8,1,0,246,"$490,359.00",285.1,71.3,177,72.5,1.783,48.0,2,203,612,124,3.830,477
141,Chesson Hadley,33,0,58,12,0,0,239,"$485,193.00",296.0,66.7,108,70.2,1.741,44.8,7,250,609,150,4.310,149
142,Cameron Percy,47,17,45,8,1,0,208,"$470,679.00",295.0,59.2,117,69.6,1.782,49.1,6,160,529,102,3.556,135
143,Andrew Putnam,32,16,46,7,1,0,184,"$459,640.00",277.9,57.0,193,63.8,1.769,51.9,3,147,541,121,3.196,276
144,Rob Oppenheim,41,21,61,11,1,0,236,"$454,470.00",284.2,63.0,181,65.2,1.791,52.7,9,210,700,159,3.443,122
145,Josh Teater,42,15,41,6,1,0,217,"$453,508.00",294.0,68.2,127,71.5,1.761,35.3,8,161,449,104,3.927,92
147,Hank Lebioda,--,20,55,8,1,0,230,"$436,840.00",294.7,60.3,123,67.7,1.773,49.5,8,198,611,156,3.600,124
148,Robert Streb,34,19,50,7,1,0,207,"$415,258.00",293.7,58.1,133,67.3,1.766,35.4,4,175,569,133,3.500,225
149,Austin Cook,30,0,60,11,0,0,162,"$386,353.00",293.8,66.7,131,68.2,1.779,42.1,4,223,677,158,3.717,270
150,Sebastian Cappelen,--,19,53,8,1,0,156,"$371,482.00",303.7,51.1,37,64.4,1.785,47.7,5,186,607,129,3.509,191
151,Ted Potter Jr.,37,19,44,4,2,0,163,"$361,540.00",290.2,60.7,154,68.9,1.789,39.4,3,152,510,109,3.455,264
152,Aaron Wise,24,18,45,6,2,0,175,"$355,972.00",301.5,59.9,59,72.1,1.793,52.4,4,177,494,121,3.933,203
153,Branden Grace,33,16,41,6,1,0,136,"$354,443.00",297.3,55.7,99,68.4,1.778,53.1,1,148,478,103,3.610,738
154,Patton Kizzire,35,19,55,8,1,0,129,"$352,764.00",294.8,54.0,120,64.8,1.735,45.5,6,208,605,145,3.782,165
155,Seamus Power,34,11,32,7,1,0,168,"$351,069.00",304.5,58.6,33,69.4,1.733,51.4,5,140,340,78,4.375,115
156,D.J. Trahan,40,17,47,7,1,0,165,"$345,471.00",297.6,64.7,92,68.2,1.795,45.5,2,179,527,120,3.809,423
157,Brandon Hagy,--,0,46,8,0,0,167,"$341,322.00",312.8,51.0,6,67.6,1.782,58.2,7,178,502,126,3.870,118
158,C.T. Pan,29,0,56,9,0,0,112,"$329,997.00",287.0,60.3,169,67.3,1.798,46.2,4,180,647,156,3.214,252
159,James Hahn,39,0,36,5,0,0,129,"$327,110.00",293.7,61.4,134,69.4,1.780,40.3,3,132,412,94,3.667,216
161,Tim Wilkinson,42,0,46,9,0,0,183,"$307,772.00",284.7,68.3,179,67.4,1.762,48.6,3,166,547,101,3.609,276
162,Jason Dufner,44,0,62,12,0,0,138,"$306,781.00",286.2,66.4,174,67.8,1.818,52.6,5,202,735,156,3.258,223
163,Peter Uihlein,31,0,43,9,0,0,136,"$301,846.00",301.8,47.4,52,68.0,1.759,57.7,3,172,481,105,4.000,258
165,David Hearn,41,19,51,8,1,0,152,"$287,527.00",281.8,68.4,188,66.9,1.769,45.6,1,179,605,122,3.510,918
166,Aaron Baddeley,40,0,47,7,0,0,153,"$286,504.00",284.9,59.5,178,64.9,1.738,56.3,3,186,526,116,3.957,282
167,Tyler McCumber,--,0,53,10,0,0,151,"$284,230.00",310.2,54.3,12,66.2,1.804,39.2,4,201,578,150,3.792,239
169,Mark D. Anderson,35,0,47,9,0,0,154,"$278,630.00",293.1,59.5,137,66.8,1.809,54.9,6,143,577,111,3.043,141
170,Kristoffer Ventura,--,0,44,7,0,0,157,"$278,309.00",305.7,59.7,28,67.2,1.773,38.2,3,186,473,112,4.227,264
171,Dominic Bozzelli,30,13,36,5,1,0,112,"$272,865.00",299.0,51.7,81,63.0,1.708,43.5,2,151,368,107,4.194,324
172,Ben Martin,33,0,36,6,0,0,142,"$270,879.00",283.6,64.4,185,67.1,1.768,48.2,1,132,427,78,3.667,648
173,Chris Baker,--,0,49,9,0,0,141,"$270,300.00",289.5,69.5,159,70.1,1.809,50.8,6,169,577,115,3.449,147
174,Wes Roach,32,14,40,7,2,0,123,"$267,966.00",290.5,62.6,150,67.9,1.771,39.0,8,149,442,106,3.725,90
175,Kevin Tway,32,0,48,7,0,0,110,"$256,320.00",303.8,49.9,36,62.6,1.787,39.2,2,158,536,157,3.292,432
176,Kramer Hickok,29,0,49,7,0,0,131,"$253,646.00",292.8,67.2,139,66.2,1.825,49.2,3,156,586,125,3.184,294
177,Roger Sloan,34,0,51,7,0,0,131,"$253,597.00",291.5,58.3,145,65.6,1.779,54.4,7,174,588,133,3.412,131
178,Chris Stroud,39,0,46,6,0,0,120,"$249,013.00",287.0,59.4,167,64.6,1.738,53.3,2,176,510,127,3.826,414
179,Grayson Murray,27,14,36,5,1,0,100,"$244,150.00",313.8,54.2,5,63.9,1.758,43.5,5,143,375,104,3.972,130
180,Jimmy Walker,43,0,46,6,0,0,112,"$243,370.00",298.0,46.8,89,62.2,1.765,37.1,4,159,491,148,3.457,207
