PLAYER,TOTAL 1 PUTTS - 20-25'_ROUNDS,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
Tyler Duncan,83,22,496,4.4
Brendon Todd,86,19,580,3.3
Dylan Frittelli,82,18,488,3.7
Joel Dahmen,79,18,473,3.8
Scott Harrington,68,17,376,4.5
Talor Gooch,83,17,526,3.2
Viktor Hovland,74,17,411,4.1
Doc Redman,82,17,469,3.6
Tony Finau,72,16,432,3.7
Patrick Rodgers,95,16,519,3.1
Sungjae Im,94,16,592,2.7
J.T. Poston,78,16,478,3.3
Billy Horschel,79,15,432,3.5
Tom Hoge,74,15,477,3.1
Xander Schauffele,70,15,458,3.3
Hank Lebioda,57,15,264,5.7
Scott Brown,64,14,348,4.0
Xinjun Zhang,77,14,427,3.3
Adam Hadwin,65,14,375,3.7
Andrew Landry,63,14,393,3.6
Kris Ventura,48,14,197,7.1
Cameron Smith,64,14,422,3.3
Scottie Scheffler,82,14,506,2.8
Maverick McNealy,80,14,431,3.2
Denny McCarthy,81,14,474,3.0
Sepp Straka,70,14,426,3.3
Luke List,69,13,377,3.4
Rory McIlroy,60,13,374,3.5
Webb Simpson,52,13,392,3.3
Rickie Fowler,44,13,304,4.3
Hideki Matsuyama,74,13,435,3.0
Cameron Tringale,63,13,383,3.4
Lanto Griffin,96,13,591,2.2
Mackenzie Hughes,70,13,465,2.8
Mark Hubbard,86,13,538,2.4
Abraham Ancer,74,13,421,3.1
Sebastián Muñoz,84,13,562,2.3
Brian Gay,67,12,357,3.4
Kevin Na,71,12,477,2.5
Brian Harman,78,12,547,2.2
Patrick Reed,74,12,522,2.3
Charles Howell III,69,11,341,3.2
Graeme McDowell,48,11,258,4.3
Matt Every,47,11,268,4.1
Kevin Kisner,73,11,432,2.5
Kyle Stanley,57,11,278,4.0
Jim Herman,60,11,327,3.4
Brian Stuard,83,11,476,2.3
Michael Thompson,62,11,400,2.8
Jordan Spieth,62,11,363,3.0
Matt Fitzpatrick,54,11,334,3.3
Michael Gellerman,46,11,208,5.3
Ryan Armour,60,10,302,3.3
Vaughn Taylor,61,10,336,3.0
Nick Taylor,59,10,347,2.9
Rafa Cabrera Bello,53,10,296,3.4
Marc Leishman,61,10,368,2.7
Rob Oppenheim,65,10,298,3.4
Dustin Johnson,49,10,346,2.9
Troy Merritt,72,10,392,2.6
K.H. Lee,76,10,404,2.5
Keegan Bradley,68,10,370,2.7
Carlos Ortiz,72,10,452,2.2
Adam Long,88,10,498,2.0
Harold Varner III,74,10,391,2.6
Sam Ryder,74,10,401,2.5
Tyler McCumber,57,10,230,4.3
Joaquin Niemann,76,10,455,2.2
Austin Cook,64,10,328,3.0
Richy Werenski,60,10,357,2.8
Bryson DeChambeau,62,10,482,2.1
Matt Wallace,44,10,290,3.4
Collin Morikawa,80,10,520,1.9
Matthew Wolff,74,10,454,2.2
Will Gordon,36,10,122,8.2
Phil Mickelson,51,9,287,3.1
Jim Furyk,39,9,212,4.2
Ryan Palmer,68,9,445,2.0
Zach Johnson,61,9,384,2.3
Pat Perez,59,9,267,3.4
Adam Scott,38,9,219,4.1
Bill Haas,46,9,210,4.3
Paul Casey,56,9,287,3.1
Louis Oosthuizen,48,9,297,3.0
Ryan Moore,48,9,249,3.6
Kevin Streelman,73,9,394,2.3
Alex Noren,60,9,328,2.7
Brandt Snedeker,53,9,364,2.5
Fabián Gómez,59,9,274,3.3
Danny Lee,69,9,411,2.2
Henrik Norlander,74,9,374,2.4
Scott Stallings,71,9,359,2.5
Patton Kizzire,55,9,345,2.6
Harry Higgs,83,9,486,1.9
Sebastian Cappelen,55,9,249,3.6
Tyrrell Hatton,42,9,256,3.5
Patrick Cantlay,46,9,328,2.7
Brooks Koepka,40,9,265,3.4
Matthew NeSmith,72,9,363,2.5
Si Woo Kim,78,9,449,2.0
Keith Mitchell,64,9,361,2.5
Max Homa,70,9,411,2.2
Jon Rahm,58,9,421,2.1
Adam Schenk,78,9,403,2.2
Cameron Champ,70,9,418,2.2
Stewart Cink,51,8,302,2.6
Justin Rose,38,8,250,3.2
