PLAYER,TOTAL 1 PUTTS - 20-25'_ROUNDS,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
Matt Kuchar,56,8,359,2.2
Rory Sabbatini,66,8,370,2.2
Jason Dufner,62,8,365,2.2
Bubba Watson,66,8,392,2.0
Peter Uihlein,47,8,210,3.8
Brendan Steele,68,8,405,2.0
Jason Kokrak,62,8,347,2.3
Emiliano Grillo,69,8,293,2.7
Roger Sloan,55,8,258,3.1
Beau Hossler,71,8,344,2.3
J.J. Spaun,62,8,342,2.3
Corey Conners,74,8,380,2.1
Daniel Berger,64,8,447,1.8
Cam Davis,62,8,324,2.5
Sam Burns,60,8,381,2.1
Charley Hoffman,63,7,343,2.0
Arjun Atwal,35,7,120,5.8
Scott Piercy,66,7,357,2.0
Matt Jones,76,7,444,1.6
David Hearn,55,7,249,2.8
Nick Watney,46,7,242,2.9
Josh Teater,43,7,177,4.0
Nate Lashley,52,7,326,2.1
Bronson Burgoon,55,7,335,2.1
Brice Garnett,58,7,291,2.4
Branden Grace,43,7,235,3.0
Rhein Gibson,54,7,227,3.1
Russell Knox,67,7,323,2.2
Justin Thomas,66,7,436,1.6
Byeong Hun An,75,7,433,1.6
Russell Henley,67,7,379,1.8
Andrew Putnam,46,7,240,2.9
Robert Streb,54,7,201,3.5
Peter Malnati,61,7,363,1.9
Dominic Bozzelli,38,7,183,3.8
Zac Blair,70,7,373,1.9
Aaron Wise,49,7,208,3.4
D.J. Trahan,49,6,208,2.9
Jimmy Walker,46,6,280,2.1
Lucas Glover,67,6,345,1.7
Jhonattan Vegas,52,6,244,2.5
"Ted Potter, Jr.",46,6,232,2.6
Sung Kang,73,6,417,1.4
Gary Woodland,62,6,381,1.6
Kevin Chappell,41,6,229,2.6
Mark Anderson,51,6,255,2.4
Joseph Bramlett,57,6,260,2.3
Chesson Hadley,62,6,322,1.9
Wyndham Clark,65,6,366,1.6
Cameron Percy,49,5,225,2.2
Chez Reavie,77,5,384,1.3
Martin Laird,39,5,189,2.6
Jason Day,53,5,299,1.7
Seamus Power,36,5,147,3.4
Bud Cauley,65,5,411,1.2
Harris English,76,5,478,1.0
Martin Trainer,48,5,294,1.7
Chase Seiffert,56,5,248,2.0
Robby Shelton,75,5,379,1.3
Brandon Hagy,50,5,241,2.1
Bo Van Pelt,45,4,187,2.1
Chris Stroud,48,4,268,1.5
Tommy Fleetwood,40,4,202,2.0
Danny Willett,40,4,244,1.6
Michael Gligic,52,4,237,1.7
Shane Lowry,44,4,241,1.7
Zack Sucher,38,4,155,2.6
Bo Hoag,71,4,300,1.3
Grayson Murray,36,4,219,1.8
Wes Roach,42,4,136,2.9
Kramer Hickok,51,4,233,1.7
Doug Ghim,44,4,164,2.4
Aaron Baddeley,49,3,277,1.1
Ian Poulter,48,3,311,1.0
Tim Wilkinson,50,3,212,1.4
Ryan Brehm,52,3,192,1.6
C.T. Pan,56,3,262,1.1
Kevin Tway,52,3,230,1.3
James Hahn,36,3,170,1.8
Chris Baker,53,3,203,1.5
Ben Martin,38,3,156,1.9
Nelson Ledesma,42,3,169,1.8
Ben Taylor,44,3,181,1.7
Vincent Whaley,40,3,209,1.4
Sergio Garcia,44,1,227,.4
Anirban Lahiri,35,1,156,.6
