PLAYER,LONGEST_DRIVES_ROUNDS,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
Richy Werenski,60,371,The Greenbrier,4,6,771
Tae Hee Lee,12,371,WGC-Mexico,3,11,240
Brice Garnett,58,370,The Greenbrier,2,11,771
Adam Long,88,370,BMW Champ,3,9,896
Beau Hossler,71,370,The Greenbrier,2,1,771
Patrick Rodgers,95,370,The Greenbrier,2,12,771
Talor Gooch,83,370,BMW Champ,1,10,896
Brandon Matthews,2,370,Arnold Palmer,1,3,009
Jason Dufner,62,370,The Greenbrier,3,16,771
Graeme McDowell,48,369,the Memorial,1,13,023
Jhonattan Vegas,52,369,Workday,2,11,893
Matt Jones,76,369,Wyndham,1,18,752
Stewart Cink,51,369,Workday,3,17,893
Michael Lorenzo-Vera,12,369,WGC-Mexico,4,12,240
Branden Grace,43,369,WGC-Mexico,3,11,240
Wes Roach,42,369,Pebble Beach,1,9,005
Matthew NeSmith,72,369,Workday,2,13,893
Ryo Ishikawa,16,368,WGC-Mexico,4,14,240
Jason Scrivener,2,368,the Memorial,1,17,023
Sebastian Cappelen,55,368,Workday,1,1,893
Mark Hubbard,86,368,the Memorial,4,17,023
Sam Ryder,74,368,Workday,3,13,893
Dominic Bozzelli,38,368,The Greenbrier,3,12,771
Shaun Norris,14,368,WGC-Mexico,3,4,240
Hunter Mahan,15,368,Houston Open,2,15,729
Jonathan Byrd,29,368,The Greenbrier,3,12,771
Ryan Moore,48,367,the Memorial,4,13,023
Chez Reavie,77,367,WGC-Mexico,4,10,240
Tiger Woods,28,367,the Memorial,4,13,023
Jamie Lovemark,28,367,The Greenbrier,1,12,771
Brendan Steele,68,367,The Greenbrier,2,13,771
Russell Knox,67,367,Pebble Beach,3,9,005
Kenny Leseur,2,367,Bermuda,2,2,765
Peter Kuest,12,367,the Memorial,1,13,023
C.T. Pan,56,366,the Memorial,4,17,023
Patton Kizzire,55,366,Phoenix Open,2,6,510
Vincent Whaley,40,366,Sony Open,1,3,006
Bo Van Pelt,45,366,Wyndham,1,18,752
Rob Oppenheim,65,366,Pebble Beach,4,9,005
Seamus Power,36,366,Wyndham,1,18,752
Josh Teater,43,365,Wyndham,3,5,752
Peter Uihlein,47,365,Shriners,3,2,538
Michael Thompson,62,365,BMW Champ,1,10,896
Adam Hadwin,65,365,the Memorial,4,13,023
Robby Shelton,75,365,The Greenbrier,2,12,771
Hayden Springer,2,365,The Greenbrier,1,12,771
Rhein Gibson,54,364,Puerto Rico,3,2,742
Michael Gligic,52,364,Wyndham,4,5,752
Christiaan Bezuidenhout,34,364,WGC-Mexico,2,14,240
James Nicholas,2,364,Rocket Mortgage,2,12,876
Maverick McNealy,80,363,BMW Champ,1,17,896
Denny McCarthy,81,363,Arnold Palmer,2,5,009
Will Gordon,36,363,Travelers,4,4,503
Scott Brown,64,362,Wyndham,1,18,752
Henrik Norlander,74,362,Pebble Beach,1,9,005
Jim Herman,60,362,BMW Champ,2,10,896
Kevin Chappell,41,362,The Greenbrier,2,6,771
Si Woo Kim,78,362,Rocket Mortgage,3,13,876
MJ Daffue,10,362,Workday,3,13,893
Justin Rose,38,362,the Memorial,1,13,023
Graham DeLaet,14,362,Sony Open,1,18,006
Brian Harman,78,361,Wyndham,1,18,752
Bud Cauley,65,361,Workday,2,18,893
Austin Cook,64,361,The Greenbrier,3,17,771
Rafael Campos,29,360,The Greenbrier,2,6,771
Troy Merritt,72,360,Wyndham,1,18,752
Mark Anderson,51,360,The Greenbrier,4,6,771
Zack Sucher,38,360,The Greenbrier,3,16,771
Lucas Bjerregaard,23,360,Shriners,2,13,538
Tom Hoge,74,360,Travelers,4,12,503
Ben Taylor,44,360,Wyndham,1,18,752
Hank Lebioda,57,360,The Greenbrier,2,6,771
Tony Romo,2,360,Safeway Open,2,4,552
Shintaro Ban,2,360,The Greenbrier,2,6,771
John Senden,33,360,Pebble Beach,3,9,005
Cameron Percy,49,359,Bermuda,3,2,765
Boo Weekley,14,359,The Greenbrier,2,6,771
Brendon Todd,86,359,Sentry,1,1,656
Russell Henley,67,359,BMW Champ,1,10,896
Zac Blair,70,359,Pebble Beach,4,9,005
Aaron Wise,49,359,Genesis,2,18,500
Doc Redman,82,359,the Memorial,1,17,023
Isaiah Salinda,16,359,Pebble Beach,1,10,769
Andy Ogletree,6,359,the Memorial,1,17,023
Martin Laird,39,359,The Greenbrier,2,12,771
"Ted Potter, Jr.",46,358,3M Open,2,15,883
Alex Noren,60,358,Arnold Palmer,2,15,009
Kyle Stanley,57,358,Wyndham,1,18,752
Xinjun Zhang,77,358,the Memorial,3,17,023
Tomoyo Ikemura,2,358,Sony Open,1,16,006
Jazz Janewattananond,30,358,WGC-Mexico,2,14,240
Adam Schenk,78,358,Shriners,1,9,538
Angus Flanagan,2,358,3M Open,2,2,883
Jack Trent,4,358,Shriners,3,2,538
Vince Covello,22,357,The Greenbrier,4,12,771
Robert Streb,54,357,Wyndham,1,18,752
Michael Kim,26,357,The Greenbrier,2,6,771
Patrick Fishburn,4,357,Bermuda,1,12,765
Nick Taylor,59,357,BMW Champ,1,10,896
Padraig Harrington,7,356,Pebble Beach,1,10,769
Scott Stallings,71,356,Shriners,3,9,538
James Hahn,36,356,Travelers,1,12,503
Derek Ernst,16,356,Bermuda,1,2,765
Hiram Silfa,2,356,Puerto Rico,1,2,742
Smylie Kaufman,11,356,Pebble Beach,2,10,769
Jeremy Gandon,4,356,Houston Open,2,1,729
Michael Gellerman,46,356,The Greenbrier,1,12,771
Brandt Snedeker,53,356,Sony Open,2,12,006
Andrew Novak,6,355,The Greenbrier,4,6,771
George McNeill,32,355,Safeway Open,2,1,552
Pablo Larrazabal,4,354,WGC-Mexico,4,11,240
Tommy Gainey,14,354,Houston Open,1,18,729
William McGirt,4,354,the Memorial,1,17,023
J.J. Spaun,62,354,The Greenbrier,4,6,771
Carl Pettersson,6,353,the Memorial,4,17,023
Nick Watney,46,353,Safeway Open,2,1,552
Daniel Chopra,16,353,3M Open,1,18,883
Rod Pampling,11,353,Bermuda,3,2,765
Alex Cejka,31,352,The Greenbrier,1,17,771
Rafa Cabrera Bello,53,352,WGC-Mexico,3,14,240
Zach Johnson,61,352,the Memorial,4,2,023
Shawn Stefani,32,352,The Greenbrier,2,1,771
Daniel Augustus IV,2,352,Bermuda,2,2,765
Doug Ghim,44,352,The Greenbrier,3,6,771
Akshay Bhatia,13,352,Shriners,2,2,538
Matt Every,47,351,The Greenbrier,2,12,771
Andrew Landry,63,351,BMW Champ,1,1,896
Alex Smalley,2,351,Phoenix Open,2,17,510
Sahith Theegala,10,351,3M Open,2,15,883
Davey Jude,2,351,The Greenbrier,2,7,771
Brandon Wu,18,351,Workday,1,2,893
Mason Williams,2,351,The Greenbrier,1,6,771
Chris Stroud,48,351,Rocket Mortgage,2,10,876
Taylor Funk,2,350,Bermuda,2,2,765
Bill Haas,46,350,Shriners,1,9,538
Arjun Atwal,35,350,The Greenbrier,1,12,771
Freddie Jacobson,10,350,The Greenbrier,1,6,771
John Rollins,12,350,Bermuda,1,12,765
Charley Hoffman,63,349,Safeway Open,1,1,552
Ernie Els,6,349,the Memorial,1,17,023
Brian Stuard,83,349,Sanderson Farms,2,18,746
K.H. Lee,76,349,Arnold Palmer,2,16,009
Jake Shuman,2,349,Wyndham,1,5,752
Fabián Gómez,59,348,Bermuda,1,12,765
Seung-Yul Noh,20,348,Workday,1,1,893
David Lingmerth,25,348,Bermuda,1,12,765
Nelson Ledesma,42,348,Safeway Open,1,5,552
Aaron Baddeley,49,348,Safeway Open,2,3,552
John Merrick,18,348,Sanderson Farms,1,18,746
Parker McLachlin,16,347,3M Open,1,15,883
Davis Love III,24,347,Workday,2,13,893
Emiliano Grillo,69,347,Puerto Rico,3,2,742
Andres Gonzales,2,346,Safeway Open,2,1,552
Morgan Hoffmann,10,346,Safeway Open,2,1,552
Roberto Díaz,6,346,Bermuda,1,12,765
Davis Thompson,6,346,The RSM Classic,3,14,776
John Daly,4,346,The Greenbrier,2,12,771
Robert Garrigus,25,345,Bermuda,1,2,765
Pat Perez,59,345,Shriners,3,9,538
Tim Wilkinson,50,345,Pebble Beach,4,9,005
Sangmoon Bae,24,345,The Greenbrier,2,6,771
Sam Saunders,14,345,Arnold Palmer,4,16,009
Peter Malnati,61,345,Safeway Open,1,16,552
John Oda,8,345,Shriners,4,2,538
Chase Koepka,14,345,3M Open,1,18,883
Chris Baker,53,344,Pebble Beach,4,10,005
John Huh,26,344,Phoenix Open,2,15,510
Charlie Reiter,3,344,The Amex,1,13,202
Dylan Wu,2,344,Shriners,2,13,538
Tim Herron,15,344,3M Open,2,12,883
Rikuya Hoshino,8,343,Sony Open,3,18,006
David Pastore,2,343,Travelers,1,7,503
Patrick Martin,5,343,Farmers,2,18,104
Greg Chalmers,22,343,Wyndham,1,18,752
Ian Poulter,48,343,the Memorial,1,1,023
Charlie Beljan,5,343,Bermuda,1,12,765
Conrad Shindler,2,343,The Greenbrier,2,13,771
Trey Mullinax,6,343,Phoenix Open,2,18,510
Roberto Castro,31,342,The Greenbrier,4,12,771
Wesley Bryan,16,342,Wyndham,1,18,752
Alex Beach,8,342,Sony Open,2,16,006
