PLAYER,PUTTING FROM 5-10'_ROUNDS,PUTTING FROM 5-10'_%,PUTTING FROM 5-10'_ATTEMPTS,PUTTING FROM 5-10'_PUTTS_MADE
Joel Dahmen,79,52.43,267,140
Keegan Bradley,68,52.36,254,133
Zack Sucher,38,52.27,88,46
Hideki Matsuyama,74,52.14,257,134
Chris Stroud,48,52.08,144,75
Michael Gellerman,46,52.03,123,64
Jordan Spieth,62,51.85,189,98
Ryan Palmer,68,51.66,271,140
Scottie Scheffler,82,51.61,279,144
Sung Kang,73,51.48,270,139
Luke List,69,51.45,241,124
Phil Mickelson,51,51.27,158,81
Robby Shelton,75,51.27,236,121
Tim Wilkinson,50,51.22,123,63
Russell Knox,67,50.52,192,97
Andrew Landry,63,50.50,202,102
D.J. Trahan,49,50.44,113,57
Xinjun Zhang,77,50.43,234,118
Scott Brown,64,49.77,217,108
Branden Grace,43,49.63,135,67
Rhein Gibson,54,49.61,127,63
Jim Herman,60,49.26,203,100
J.J. Spaun,62,49.01,202,99
Josh Teater,43,48.72,117,57
Ryan Armour,60,48.45,194,94
Doug Ghim,44,48.36,122,59
Bo Van Pelt,45,48.33,120,58
Cameron Percy,49,48.05,154,74
Jim Furyk,39,47.97,123,59
Sebastian Cappelen,55,47.97,148,71
Marc Leishman,61,47.84,232,111
Tommy Fleetwood,40,47.27,110,52
Martin Laird,39,47.24,127,60
Aaron Wise,49,47.10,138,65
"Ted Potter, Jr.",46,46.63,163,76
Emiliano Grillo,69,46.28,188,87
Wes Roach,42,46.07,89,41
Arjun Atwal,35,45.68,81,37
Bill Haas,46,45.67,127,58
Tyler McCumber,57,44.81,154,69
Grayson Murray,36,44.62,130,58
Robert Streb,54,43.97,116,51
Joseph Bramlett,57,40.27,149,60
