PLAYER,DISTANCE_TO_APEX_ROUNDS,DISTANCE_TO_APEX_AVG,TOTAL APEX RANGE,DISTANCE_TO_APEX_TOTAL ATTEMPTS,LONGEST DIST. TO APEX,SHORTEST DIST. TO APEX
Kyle Stanley,57,172.1,"28,568.7",166,198.0,134.7
Cameron Percy,49,171.4,"36,850.2",215,192.9,141.6
Zac Blair,70,170.1,"69,749.9",410,184.0,146.7
Arjun Atwal,35,169.7,"14,426.9",85,184.2,122.1
Vaughn Taylor,61,169.6,"50,365.1",297,191.5,138.6
Rob Oppenheim,65,169.4,"28,296.1",167,189.2,122.1
Chez Reavie,77,169.4,"77,928.6",460,217.7,130.8
Ryan Moore,48,169.3,"24,214.1",143,189.5,142.9
Tim Wilkinson,50,168.6,"40,631.4",241,183.6,141.4
Brendon Todd,86,167.8,"81,376.6",485,188.4,117.5
David Hearn,55,166.5,"22,641.0",136,178.8,151.7
Brian Stuard,83,165.9,"82,594.8",498,186.2,128.6
Ryan Armour,60,165.6,"62,446.9",377,188.9,137.8
Jim Furyk,39,163.9,"45,398.6",277,187.8,132.7
