PLAYER,SMASH_FACTOR_ROUNDS,SMASH_FACTOR_AVG,TOTAL SMASH FACTOR,SMASH_FACTOR_TOTAL ATTEMPTS,HIGHEST VALUE,LOWEST VALUE
Joaquin Niemann,76,1.495,298.923,200,1.520,1.429
Vincent Whaley,40,1.495,134.528,90,1.519,1.433
Kramer Hickok,51,1.495,186.864,125,1.524,1.441
Xander Schauffele,70,1.495,339.395,227,1.519,1.426
Bo Hoag,71,1.495,245.253,164,1.527,1.443
Dustin Johnson,49,1.495,221.313,148,1.523,1.407
Chez Reavie,77,1.495,303.476,203,1.531,1.437
Arjun Atwal,35,1.494,119.550,80,1.520,1.446
Brian Harman,78,1.494,422.850,283,1.534,1.390
Jhonattan Vegas,52,1.494,174.790,117,1.520,1.423
Kevin Tway,52,1.494,173.346,116,1.520,1.423
Viktor Hovland,74,1.494,358.626,240,1.529,1.427
Si Woo Kim,78,1.494,350.999,235,1.523,1.424
Tyler McCumber,57,1.493,132.891,89,1.519,1.332
James Hahn,36,1.493,159.715,107,1.518,1.463
Branden Grace,43,1.493,170.241,114,1.534,1.424
Ben Martin,38,1.493,106.035,71,1.526,1.448
Peter Malnati,61,1.493,252.275,169,1.524,1.381
Seamus Power,36,1.493,125.441,84,1.520,1.446
Zach Johnson,61,1.493,255.232,171,1.519,1.439
Scott Harrington,68,1.492,246.210,165,1.521,1.441
Brandon Hagy,50,1.492,186.530,125,1.519,1.404
Dominic Bozzelli,38,1.491,96.924,65,1.520,1.252
Keith Mitchell,64,1.491,232.653,156,1.519,1.403
Brooks Koepka,40,1.491,189.311,127,1.520,1.400
Matthew Wolff,74,1.491,329.555,221,1.519,1.427
Ryan Moore,48,1.491,205.736,138,1.524,1.435
Kevin Streelman,73,1.491,335.366,225,1.520,1.276
Mackenzie Hughes,70,1.491,369.776,248,1.527,1.398
Tyrrell Hatton,42,1.491,216.196,145,1.525,1.403
Rhein Gibson,54,1.491,153.605,103,1.519,1.437
Danny Lee,69,1.490,311.481,209,1.521,1.406
Peter Uihlein,47,1.490,125.187,84,1.527,1.442
Brandt Snedeker,53,1.490,278.706,187,1.520,1.413
Michael Gellerman,46,1.490,134.094,90,1.519,1.404
Cameron Champ,70,1.490,302.467,203,1.534,1.414
Scottie Scheffler,82,1.490,390.361,262,1.519,1.429
Will Gordon,36,1.489,95.294,64,1.529,1.406
Scott Brown,64,1.488,260.336,175,1.523,1.447
Kevin Chappell,41,1.488,194.967,131,1.519,1.419
Chris Baker,53,1.488,184.564,124,1.519,1.422
Henrik Norlander,74,1.487,254.217,171,1.515,1.434
"Ted Potter, Jr.",46,1.487,188.892,127,1.519,1.374
Phil Mickelson,51,1.487,185.867,125,1.519,1.418
Brian Gay,67,1.487,307.893,207,1.521,1.407
Jon Rahm,58,1.487,310.768,209,1.520,1.415
Patrick Rodgers,95,1.486,386.419,260,1.522,1.395
Sungjae Im,94,1.486,459.261,309,1.533,1.350
Justin Rose,38,1.486,193.156,130,1.520,1.369
