PLAYER,TOTAL 1 PUTTS - 10-15'_ROUNDS,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
Pat Perez,59,36,267,13.5
Nick Taylor,59,36,347,10.4
Rory McIlroy,60,36,374,9.6
Cameron Tringale,63,36,383,9.4
Russell Henley,67,36,379,9.5
Michael Gellerman,46,36,208,17.3
Nate Lashley,52,35,326,10.7
Bronson Burgoon,55,35,335,10.4
Shane Lowry,44,35,241,14.5
Zac Blair,70,35,373,9.4
Cam Davis,62,35,324,10.8
Ryan Armour,60,34,302,11.3
Alex Noren,60,34,328,10.4
Andrew Landry,63,34,393,8.7
Paul Casey,56,33,287,11.5
Rhein Gibson,54,33,227,14.5
Keegan Bradley,68,33,370,8.9
Patrick Cantlay,46,33,328,10.1
Sam Ryder,74,33,401,8.2
Lucas Glover,67,32,345,9.3
Brice Garnett,58,32,291,11.0
Kevin Chappell,41,32,229,14.0
Mark Anderson,51,32,255,12.5
Peter Malnati,61,32,363,8.8
Justin Rose,38,31,250,12.4
Louis Oosthuizen,48,31,297,10.4
Rob Oppenheim,65,31,298,10.4
Fabián Gómez,59,31,274,11.3
Scott Brown,64,31,348,8.9
Kyle Stanley,57,31,278,11.2
Danny Willett,40,31,244,12.7
Aaron Baddeley,49,30,277,10.8
Tim Wilkinson,50,30,212,14.2
Peter Uihlein,47,30,210,14.3
K.H. Lee,76,30,404,7.4
Sebastian Cappelen,55,30,249,12.0
Tyrrell Hatton,42,30,256,11.7
Matt Wallace,44,30,290,10.3
Ryan Moore,48,29,249,11.6
Chris Stroud,48,29,268,10.8
Chase Seiffert,56,29,248,11.7
Phil Mickelson,51,28,287,9.8
Jim Furyk,39,28,212,13.2
Stewart Cink,51,28,302,9.3
Jimmy Walker,46,28,280,10.0
Rafa Cabrera Bello,53,28,296,9.5
Jhonattan Vegas,52,28,244,11.5
Andrew Putnam,46,28,240,11.7
David Hearn,55,27,249,10.8
Tommy Fleetwood,40,27,202,13.4
Michael Gligic,52,27,237,11.4
Cameron Percy,49,26,225,11.6
Branden Grace,43,26,235,11.1
Matt Every,47,25,268,9.3
C.T. Pan,56,25,262,9.5
Brooks Koepka,40,25,265,9.4
Tyler McCumber,57,25,230,10.9
Hank Lebioda,57,25,264,9.5
Sergio Garcia,44,24,227,10.6
Adam Scott,38,24,219,11.0
Chris Baker,53,24,203,11.8
Dominic Bozzelli,38,24,183,13.1
Aaron Wise,49,24,208,11.5
D.J. Trahan,49,23,208,11.1
Graeme McDowell,48,23,258,8.9
Vincent Whaley,40,23,209,11.0
Ryan Brehm,52,22,192,11.5
Roger Sloan,55,22,258,8.5
Robert Streb,54,22,201,10.9
Martin Trainer,48,22,294,7.5
Arjun Atwal,35,21,120,17.5
James Hahn,36,21,170,12.4
Josh Teater,43,20,177,11.3
Kramer Hickok,51,20,233,8.6
"Ted Potter, Jr.",46,19,232,8.2
Kevin Tway,52,19,230,8.3
Grayson Murray,36,19,219,8.7
Nelson Ledesma,42,19,169,11.2
Bo Van Pelt,45,18,187,9.6
Anirban Lahiri,35,18,156,11.5
Kris Ventura,48,18,197,9.1
Doug Ghim,44,18,164,11.0
Martin Laird,39,17,189,9.0
Ben Taylor,44,17,181,9.4
Zack Sucher,38,16,155,10.3
Bill Haas,46,13,210,6.2
Ben Martin,38,13,156,8.3
Wes Roach,42,13,136,9.6
Will Gordon,36,12,122,9.8
Seamus Power,36,8,147,5.4
