PLAYER,TOTAL 1 PUTTS - 10-15'_ROUNDS,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
Lanto Griffin,96,75,591,12.7
Patrick Rodgers,95,69,519,13.3
Brian Harman,78,67,547,12.2
Sungjae Im,94,67,592,11.3
Patrick Reed,74,66,522,12.6
Mark Hubbard,86,66,538,12.3
Sebastián Muñoz,84,65,562,11.6
Bryson DeChambeau,62,64,482,13.3
Collin Morikawa,80,64,520,12.3
Brendon Todd,86,61,580,10.5
Adam Long,88,61,498,12.2
Doc Redman,82,60,469,12.8
Kevin Na,71,59,477,12.4
Kevin Kisner,73,59,432,13.7
Harry Higgs,83,59,486,12.1
Daniel Berger,64,59,447,13.2
Si Woo Kim,78,58,449,12.9
Cameron Champ,70,58,418,13.9
Zach Johnson,61,57,384,14.8
Mackenzie Hughes,70,57,465,12.3
J.T. Poston,78,57,478,11.9
Brian Stuard,83,55,476,11.6
Byeong Hun An,75,55,433,12.7
Joaquin Niemann,76,55,455,12.1
Dylan Frittelli,82,54,488,11.1
Harris English,76,54,478,11.3
Scottie Scheffler,82,54,506,10.7
Sepp Straka,70,54,426,12.7
Joel Dahmen,79,53,473,11.2
Denny McCarthy,81,53,474,11.2
Bubba Watson,66,52,392,13.3
Adam Schenk,78,52,403,12.9
Xander Schauffele,70,52,458,11.4
Matthew Wolff,74,52,454,11.5
Chez Reavie,77,51,384,13.3
Webb Simpson,52,51,392,13.0
Troy Merritt,72,51,392,13.0
Justin Thomas,66,51,436,11.7
Talor Gooch,83,51,526,9.7
Gary Woodland,62,50,381,13.1
Keith Mitchell,64,50,361,13.9
Luke List,69,49,377,13.0
Harold Varner III,74,49,391,12.5
Robby Shelton,75,49,379,12.9
Viktor Hovland,74,49,411,11.9
Billy Horschel,79,48,432,11.1
Brendan Steele,68,48,405,11.9
Xinjun Zhang,77,48,427,11.2
Bud Cauley,65,48,411,11.7
Joseph Bramlett,57,48,260,18.5
Tyler Duncan,83,48,496,9.7
Austin Cook,64,48,328,14.6
Matt Jones,76,47,444,10.6
Scott Harrington,68,47,376,12.5
Danny Lee,69,47,411,11.4
Cameron Smith,64,47,422,11.1
Sung Kang,73,46,417,11.0
Jordan Spieth,62,46,363,12.7
J.J. Spaun,62,46,342,13.5
Maverick McNealy,80,46,431,10.7
Henrik Norlander,74,45,374,12.0
Patton Kizzire,55,45,345,13.0
Adam Hadwin,65,45,375,12.0
Richy Werenski,60,45,357,12.6
Matt Kuchar,56,44,359,12.3
Jim Herman,60,44,327,13.5
Carlos Ortiz,72,44,452,9.7
Beau Hossler,71,44,344,12.8
Tom Hoge,74,44,477,9.2
Max Homa,70,44,411,10.7
Jon Rahm,58,44,421,10.5
Sam Burns,60,44,381,11.5
Ryan Palmer,68,43,445,9.7
Kevin Streelman,73,43,394,10.9
Tony Finau,72,43,432,10.0
Emiliano Grillo,69,43,293,14.7
Hideki Matsuyama,74,43,435,9.9
Corey Conners,74,43,380,11.3
Brian Gay,67,42,357,11.8
Jason Dufner,62,42,365,11.5
Scott Piercy,66,42,357,11.8
Chesson Hadley,62,42,322,13.0
Matt Fitzpatrick,54,42,334,12.6
Abraham Ancer,74,42,421,10.0
Wyndham Clark,65,42,366,11.5
Michael Thompson,62,41,400,10.3
Brandon Hagy,50,41,241,17.0
Charley Hoffman,63,40,343,11.7
Rory Sabbatini,66,40,370,10.8
Russell Knox,67,40,323,12.4
Ian Poulter,48,39,311,12.5
Bo Hoag,71,39,300,13.0
Matthew NeSmith,72,39,363,10.7
Charles Howell III,69,38,341,11.1
Nick Watney,46,38,242,15.7
Brandt Snedeker,53,38,364,10.4
Jason Day,53,38,299,12.7
Marc Leishman,61,37,368,10.1
Scott Stallings,71,37,359,10.3
Dustin Johnson,49,37,346,10.7
Jason Kokrak,62,37,347,10.7
Rickie Fowler,44,37,304,12.2
Vaughn Taylor,61,36,336,10.7
