PLAYER,PUTTING FROM - 20-25'_ROUNDS,PUTTING FROM - 20-25'_% MADE,PUTTING FROM - 20-25'_ATTEMPTS,PUTTING FROM - 20-25'_PUTTS_MADE
Kris Ventura,48,32.56,43,14
Will Gordon,36,30.30,33,10
Joel Dahmen,79,22.50,80,18
Michael Gellerman,46,22.45,49,11
Vaughn Taylor,61,21.28,47,10
Graeme McDowell,48,20.75,53,11
Rickie Fowler,44,20.63,63,13
Hank Lebioda,57,20.55,73,15
Scott Brown,64,20.29,69,14
Adam Scott,38,19.57,46,9
Scott Harrington,68,19.32,88,17
Dustin Johnson,49,18.87,53,10
Rory McIlroy,60,18.57,70,13
Tyler Duncan,83,18.49,119,22
Jordan Spieth,62,18.33,60,11
Cameron Smith,64,18.18,77,14
Tony Finau,72,18.18,88,16
J.T. Poston,78,18.09,94,17
Seamus Power,36,17.86,28,5
Matt Fitzpatrick,54,17.74,62,11
Xander Schauffele,70,17.65,85,15
Arjun Atwal,35,17.50,40,7
Xinjun Zhang,77,17.50,80,14
Billy Horschel,79,17.24,87,15
Maverick McNealy,80,17.07,82,14
Sebastian Cappelen,55,16.98,53,9
Matt Every,47,16.90,71,12
Adam Hadwin,65,16.87,83,14
Rhein Gibson,54,16.67,48,8
Webb Simpson,52,16.67,78,13
Bill Haas,46,16.67,54,9
Patrick Rodgers,95,16.49,97,16
Fabián Gómez,59,16.39,61,10
Brendon Todd,86,16.38,116,19
Ryan Moore,48,16.36,55,9
Peter Uihlein,47,16.33,49,8
Rafa Cabrera Bello,53,16.18,68,11
Sepp Straka,70,16.09,87,14
Brian Gay,67,16.00,75,12
Tyler McCumber,57,15.87,63,10
Cameron Tringale,63,15.85,82,13
Tyrrell Hatton,42,15.79,57,9
Mackenzie Hughes,70,15.48,84,13
Rob Oppenheim,65,15.38,65,10
Talor Gooch,83,15.04,113,17
Dylan Frittelli,82,15.00,120,18
Luke List,69,14.94,87,13
Justin Rose,38,14.81,54,8
Viktor Hovland,74,14.66,116,17
Doc Redman,82,14.66,116,17
Dominic Bozzelli,38,14.58,48,7
Alex Noren,60,14.52,62,9
Brooks Koepka,40,14.52,62,9
Charles Howell III,69,14.47,76,11
Louis Oosthuizen,48,14.29,63,9
Josh Teater,43,14.29,49,7
Matt Wallace,44,14.29,70,10
Hideki Matsuyama,74,14.13,92,13
Beau Hossler,71,14.06,64,9
Tom Hoge,74,14.02,107,15
Kevin Na,71,13.95,86,12
Sungjae Im,94,13.91,115,16
Nick Taylor,59,13.89,72,10
Branden Grace,43,13.73,51,7
Andrew Putnam,46,13.73,51,7
Keith Mitchell,64,13.64,66,9
Cam Davis,62,13.64,66,9
Scottie Scheffler,82,13.59,103,14
Kyle Stanley,57,13.58,81,11
Kevin Kisner,73,13.58,81,11
Robert Streb,54,13.46,52,7
Phil Mickelson,51,13.43,67,9
Pat Perez,59,13.43,67,9
Patrick Reed,74,13.33,90,12
Nick Watney,46,13.21,53,7
Michael Thompson,62,13.19,91,12
Richy Werenski,60,13.16,76,10
Roger Sloan,55,13.11,61,8
Denny McCarthy,81,13.08,107,14
Brian Stuard,83,12.94,85,11
Brian Harman,78,12.90,93,12
Andrew Landry,63,12.84,109,14
Patrick Cantlay,46,12.68,71,9
Lanto Griffin,96,12.50,104,13
Patton Kizzire,55,12.50,72,9
Jim Herman,60,12.36,89,11
K.H. Lee,76,12.35,81,10
Danny Lee,69,12.33,73,9
Sebastián Muñoz,84,12.26,106,13
Joseph Bramlett,57,12.24,49,6
Jimmy Walker,46,12.24,49,6
Ryan Armour,60,12.20,82,10
Austin Cook,64,12.20,82,10
Jim Furyk,39,12.16,74,9
Mark Hubbard,86,12.15,107,13
Abraham Ancer,74,12.15,107,13
Daniel Berger,64,12.12,66,8
Zack Sucher,38,12.12,33,4
D.J. Trahan,49,12.00,50,6
Cameron Champ,70,12.00,75,9
Matthew Wolff,74,11.90,84,10
Jon Rahm,58,11.90,84,10
Marc Leishman,61,11.90,84,10
Paul Casey,56,11.84,76,9
David Hearn,55,11.67,60,7
Sam Ryder,74,11.63,86,10
"Ted Potter, Jr.",46,11.54,52,6
Keegan Bradley,68,11.49,87,10
Zach Johnson,61,11.39,79,9
Max Homa,70,11.39,79,9
Bryson DeChambeau,62,11.36,88,10
Harold Varner III,74,11.24,89,10
Joaquin Niemann,76,11.11,90,10
Matt Kuchar,56,11.11,72,8
Brandt Snedeker,53,11.11,81,9
Bronson Burgoon,55,11.11,63,7
