PLAYER,PUTTING FROM - 20-25'_ROUNDS,PUTTING FROM - 20-25'_% MADE,PUTTING FROM - 20-25'_ATTEMPTS,PUTTING FROM - 20-25'_PUTTS_MADE
Kevin Chappell,41,11.11,54,6
Si Woo Kim,78,11.11,81,9
Martin Trainer,48,10.87,46,5
Carlos Ortiz,72,10.87,92,10
Scott Stallings,71,10.84,83,9
James Hahn,36,10.71,28,3
Jhonattan Vegas,52,10.71,56,6
Matthew NeSmith,72,10.59,85,9
Adam Schenk,78,10.59,85,9
Sam Burns,60,10.53,76,8
Wes Roach,42,10.53,38,4
Stewart Cink,51,10.53,76,8
Peter Malnati,61,10.45,67,7
Zac Blair,70,10.45,67,7
Martin Laird,39,10.42,48,5
Ryan Palmer,68,10.34,87,9
Wyndham Clark,65,10.34,58,6
Kramer Hickok,51,10.26,39,4
Rory Sabbatini,66,10.26,78,8
Bubba Watson,66,10.26,78,8
Scott Piercy,66,10.26,78,8
Jason Kokrak,62,10.26,78,8
Emiliano Grillo,69,10.26,78,8
Danny Willett,40,10.26,39,4
Henrik Norlander,74,10.23,88,9
Cameron Percy,49,10.20,49,5
Mark Anderson,51,10.17,59,6
Brice Garnett,58,10.14,69,7
Jason Dufner,62,10.13,79,8
Troy Merritt,72,10.10,99,10
Ben Taylor,44,10.00,30,3
Brandon Hagy,50,10.00,50,5
J.J. Spaun,62,9.88,81,8
Nate Lashley,52,9.86,71,7
Aaron Wise,49,9.86,71,7
Harry Higgs,83,9.78,92,9
Adam Long,88,9.62,104,10
Russell Henley,67,9.52,84,8
Charley Hoffman,63,9.46,74,7
Tommy Fleetwood,40,9.30,43,4
Ben Martin,38,9.09,33,3
Lucas Glover,67,9.09,66,6
Collin Morikawa,80,9.09,110,10
Jason Day,53,8.93,56,5
Russell Knox,67,8.86,79,7
Kevin Streelman,73,8.82,102,9
Brendan Steele,68,8.79,91,8
Bo Van Pelt,45,8.77,57,5
Chase Seiffert,56,8.62,58,5
Doug Ghim,44,8.51,47,4
Michael Gligic,52,8.51,47,4
Gary Woodland,62,8.45,71,6
Chesson Hadley,62,8.33,72,6
Byeong Hun An,75,8.05,87,7
Justin Thomas,66,7.95,88,7
Grayson Murray,36,7.69,52,4
Vincent Whaley,40,7.69,39,3
Corey Conners,74,7.69,104,8
Aaron Baddeley,49,7.50,40,3
Tim Wilkinson,50,7.50,40,3
Kevin Tway,52,7.41,54,4
Nelson Ledesma,42,7.32,41,3
Chris Stroud,48,7.02,57,4
Harris English,76,6.94,72,5
Shane Lowry,44,6.78,59,4
Robby Shelton,75,6.76,74,5
Matt Jones,76,6.60,106,7
Bud Cauley,65,6.41,78,5
Chris Baker,53,6.25,48,3
Ian Poulter,48,6.12,49,3
Sung Kang,73,6.06,99,6
Ryan Brehm,52,5.56,54,3
Bo Hoag,71,5.41,74,4
C.T. Pan,56,5.36,56,3
Chez Reavie,77,5.00,100,5
Anirban Lahiri,35,3.33,30,1
Sergio Garcia,44,2.27,44,1
