RK,PLAYER,AGE,EVENTS,ROUNDS,CUTS MADE,TOP 10,WINS,CUP POINTS,EARNINGS,YDS/DRIVE,DRIVING ACC.,DRVE TOTAL,GREENS IN REG.,PUTT AVG.,SAVE PCT.,EAGLES,BIRDIES,PARS,BOGEYS,BIRDIES/RD,HOLES/EAGLE
95,Ryan Moore,38,16,44,9,2,0,360,957540.0,289.9,68.6,157,68.6,1.742,47.9,2,171,501,108,3.886,396
96,Scott Harrington,40,22,68,11,1,0,381,951211.0,307.1,58.4,24,64.5,1.790,57.7,5,244,752,195,3.588,245
97,Rickie Fowler,32,14,44,8,2,0,402,947309.0,294.9,64.8,119,66.5,1.738,47.9,9,173,490,109,3.932,88
98,Charley Hoffman,44,20,59,11,2,0,476,932875.0,296.5,56.8,104,68.4,1.726,53.4,7,249,636,140,4.220,152
99,Cameron Tringale,33,18,63,14,1,0,450,911172.0,301.9,54.0,50,69.7,1.776,50.0,5,245,735,131,3.889,227
100,Brandt Snedeker,40,16,53,10,1,0,358,896750.0,288.5,61.9,162,65.9,1.750,55.6,1,201,617,122,3.792,954
102,Keith Mitchell,29,21,64,11,1,0,342,886979.0,301.9,58.3,51,65.0,1.774,48.0,6,242,681,191,3.781,192
103,Cam Davis,26,20,58,11,2,0,443,857225.0,308.0,58.8,20,69.3,1.779,57.0,11,240,628,145,4.138,95
104,Ryan Armour,45,21,58,8,3,0,366,850571.0,284.1,73.9,182,67.9,1.756,39.0,5,227,638,165,3.914,209
105,Emiliano Grillo,28,23,65,12,3,0,405,849538.0,295.7,66.1,113,71.5,1.803,46.7,8,245,726,175,3.769,146
106,Keegan Bradley,35,0,68,14,0,0,379,824471.0,301.0,59.7,64,66.4,1.793,51.3,7,236,767,205,3.471,175
107,Wyndham Clark,27,23,61,10,1,0,346,814737.0,305.1,52.2,32,62.6,1.739,53.4,9,232,657,170,3.803,122
108,Scott Piercy,42,19,66,14,1,0,361,809871.0,297.2,62.7,100,64.7,1.770,36.2,7,225,758,177,3.409,170
109,Matt Wallace,31,13,44,9,1,0,244,800993.0,301.7,53.1,53,63.6,1.760,59.3,3,161,489,117,3.659,264
110,Matthew NeSmith,27,23,68,13,1,0,372,783232.0,295.0,64.1,118,70.2,1.765,49.5,8,253,791,152,3.721,153
111,K.H. Lee,29,25,72,13,1,0,382,781808.0,296.4,65.0,105,65.2,1.766,53.3,1,269,825,175,3.736,1296
112,Shane Lowry,34,13,44,9,1,0,283,781326.0,299.4,60.9,76,69.4,1.796,61.5,3,161,508,104,3.659,264
113,Zach Johnson,45,18,61,12,1,0,358,777727.0,285.9,62.8,175,68.0,1.751,50.6,1,230,717,125,3.770,1098
114,Sam Burns,24,19,58,11,1,0,345,757500.0,312.0,54.8,8,67.0,1.755,32.1,9,226,646,144,3.897,116
115,Graeme McDowell,41,16,48,9,1,0,305,751082.0,283.9,62.0,183,63.3,1.768,36.5,3,164,533,139,3.417,288
116,Zac Blair,30,23,66,12,1,0,324,745273.0,280.9,62.6,191,63.5,1.768,50.8,1,240,744,177,3.636,1188
117,Luke List,36,22,69,12,1,0,297,731507.0,307.8,57.5,21,69.5,1.803,53.8,13,252,782,170,3.652,96
118,Lucas Glover,41,21,67,12,1,0,303,728355.0,301.6,64.6,55,68.7,1.780,49.2,4,263,740,175,3.925,302
119,Brian Gay,49,23,63,10,2,0,323,702647.0,288.5,58.7,164,64.8,1.722,38.5,5,245,691,163,3.889,227
120,Sam Ryder,31,25,70,12,2,0,349,690246.0,297.7,61.2,91,66.3,1.770,42.4,4,275,785,173,3.929,315
121,Adam Schenk,29,0,74,15,0,0,349,678928.0,302.0,62.3,47,69.1,1.778,49.1,8,283,857,170,3.824,167
123,Scott Stallings,36,20,67,15,2,0,296,664849.0,297.6,57.3,93,69.7,1.743,48.3,13,260,762,153,3.881,93
124,Sergio Garcia,41,12,44,10,1,0,241,658935.0,305.8,60.6,27,68.3,1.793,55.1,2,169,495,113,3.841,396
125,Beau Hossler,26,22,67,13,1,0,308,658088.0,306.6,53.9,26,65.2,1.757,51.8,6,239,768,170,3.567,201
126,Rafa Cabrera Bello,37,0,53,10,0,0,258,646577.0,293.7,62.6,135,63.8,1.759,37.9,3,193,591,144,3.642,318
127,Rory Sabbatini,45,0,66,13,0,0,291,629885.0,283.9,60.8,184,65.2,1.778,59.8,7,242,742,177,3.667,170
128,Brice Garnett,37,0,58,9,0,0,294,626179.0,290.6,64.4,148,69.9,1.760,48.3,5,211,693,124,3.638,209
130,Danny Willett,33,13,40,7,1,0,202,621028.0,301.2,55.4,61,62.5,1.769,56.8,1,145,429,127,3.625,720
131,Bronson Burgoon,34,19,53,9,1,0,255,589539.0,294.6,59.6,124,66.9,1.727,53.3,5,220,580,139,4.151,191
132,Fabián Gómez,42,19,55,10,2,0,274,564722.0,289.2,65.8,160,66.7,1.759,58.2,11,195,636,130,3.545,90
133,Peter Malnati,34,0,57,10,0,0,238,561273.0,287.6,54.5,166,62.6,1.727,44.9,6,212,638,140,3.719,171
135,Nick Watney,40,17,44,6,1,0,253,534797.0,302.3,55.4,44,70.2,1.750,45.3,4,176,488,102,4.000,198
136,Jhonattan Vegas,36,17,50,9,1,0,235,527009.0,309.0,62.0,15,70.2,1.786,39.2,6,203,542,141,4.060,150
137,Russell Knox,36,0,63,11,0,0,269,519028.0,296.3,62.2,106,70.1,1.800,55.4,2,229,751,137,3.635,567
138,Joseph Bramlett,33,18,53,10,1,0,223,495690.0,299.3,57.4,78,70.0,1.798,48.1,6,192,590,149,3.623,159
139,Stewart Cink,48,14,51,11,1,0,207,490620.0,295.7,56.4,114,68.0,1.763,47.2,2,183,589,123,3.588,459
140,Kyle Stanley,33,20,53,8,1,0,246,490359.0,285.1,71.3,177,72.5,1.783,48.0,2,203,612,124,3.830,477
141,Chesson Hadley,34,0,58,12,0,0,239,485193.0,296.0,66.7,108,70.2,1.741,44.8,7,250,609,150,4.310,149
142,Cameron Percy,47,17,45,8,1,0,208,470679.0,295.0,59.2,117,69.6,1.782,49.1,6,160,529,102,3.556,135
143,Andrew Putnam,32,16,46,7,1,0,184,459640.0,277.9,57.0,193,63.8,1.769,51.9,3,147,541,121,3.196,276
144,Rob Oppenheim,41,21,61,11,1,0,236,454470.0,284.2,63.0,181,65.2,1.791,52.7,9,210,700,159,3.443,122
145,Josh Teater,42,15,41,6,1,0,217,453508.0,294.0,68.2,127,71.5,1.761,35.3,8,161,449,104,3.927,92
148,Robert Streb,34,19,50,7,1,0,207,415258.0,293.7,58.1,133,67.3,1.766,35.4,4,175,569,133,3.500,225
149,Austin Cook,30,0,60,11,0,0,162,386353.0,293.8,66.7,131,68.2,1.779,42.1,4,223,677,158,3.717,270
151,"Ted Potter, Jr.",37,19,44,4,2,0,163,361540.0,290.2,60.7,154,68.9,1.789,39.4,3,152,510,109,3.455,264
152,Aaron Wise,25,18,45,6,2,0,175,355972.0,301.5,59.9,59,72.1,1.793,52.4,4,177,494,121,3.933,203
153,Branden Grace,33,16,41,6,1,0,136,354443.0,297.3,55.7,99,68.4,1.778,53.1,1,148,478,103,3.610,738
154,Patton Kizzire,35,19,55,8,1,0,129,352764.0,294.8,54.0,120,64.8,1.735,45.5,6,208,605,145,3.782,165
155,Seamus Power,34,11,32,7,1,0,168,351069.0,304.5,58.6,33,69.4,1.733,51.4,5,140,340,78,4.375,115
156,D.J. Trahan,40,17,47,7,1,0,165,345471.0,297.6,64.7,92,68.2,1.795,45.5,2,179,527,120,3.809,423
158,C.T. Pan,29,0,56,9,0,0,112,329997.0,287.0,60.3,169,67.3,1.798,46.2,4,180,647,156,3.214,252
159,James Hahn,39,0,36,5,0,0,129,327110.0,293.7,61.4,134,69.4,1.780,40.3,3,132,412,94,3.667,216
161,Tim Wilkinson,42,0,46,9,0,0,183,307772.0,284.7,68.3,179,67.4,1.762,48.6,3,166,547,101,3.609,276
162,Jason Dufner,44,0,62,12,0,0,138,306781.0,286.2,66.4,174,67.8,1.818,52.6,5,202,735,156,3.258,223
163,Peter Uihlein,31,0,43,9,0,0,136,301846.0,301.8,47.4,52,68.0,1.759,57.7,3,172,481,105,4.000,258
165,David Hearn,42,19,51,8,1,0,152,287527.0,281.8,68.4,188,66.9,1.769,45.6,1,179,605,122,3.510,918
166,Aaron Baddeley,40,0,47,7,0,0,153,286504.0,284.9,59.5,178,64.9,1.738,56.3,3,186,526,116,3.957,282
169,Mark Anderson,35,0,47,9,0,0,154,278630.0,293.1,59.5,137,66.8,1.809,54.9,6,143,577,111,3.043,141
171,Dominic Bozzelli,30,13,36,5,1,0,112,272865.0,299.0,51.7,81,63.0,1.708,43.5,2,151,368,107,4.194,324
172,Ben Martin,33,0,36,6,0,0,142,270879.0,283.6,64.4,185,67.1,1.768,48.2,1,132,427,78,3.667,648
