PLAYER,TOTAL 1 PUTTS - INSIDE 5'_ROUNDS,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
Chris Baker,53,106,203,52.2
Nick Watney,46,103,242,42.6
Tommy Fleetwood,40,102,202,50.5
Vincent Whaley,40,102,209,48.8
Martin Laird,39,100,189,52.9
Aaron Wise,49,99,208,47.6
Ben Taylor,44,97,181,53.6
Jim Furyk,39,95,212,44.8
Michael Gellerman,46,94,208,45.2
Nelson Ledesma,42,90,169,53.3
Peter Uihlein,47,89,210,42.4
Dominic Bozzelli,38,89,183,48.6
Josh Teater,43,87,177,49.2
Kris Ventura,48,84,197,42.6
Ben Martin,38,84,156,53.8
Zack Sucher,38,83,155,53.5
James Hahn,36,83,170,48.8
Ryan Brehm,52,83,192,43.2
Anirban Lahiri,35,77,156,49.4
Doug Ghim,44,76,164,46.3
Seamus Power,36,74,147,50.3
Wes Roach,42,73,136,53.7
Arjun Atwal,35,57,120,47.5
Will Gordon,36,55,122,45.1
