PLAYER,BALL_SPEED_ROUNDS,BALL_SPEED_AVG,TOTAL BALL SPEED,BALL_SPEED_TOTAL ATTEMPTS,BALL_SPEED_FASTEST SPEED,BALL_SPEED_SLOWEST SPEED
Matt Jones,76,172.78,"89,844.75",520,180.32,143.99
Shane Lowry,44,172.74,"52,341.45",303,179.60,161.70
Maverick McNealy,80,172.49,"60,024.85",348,178.46,157.57
Jordan Spieth,62,172.47,"71,231.79",413,182.11,162.30
Aaron Wise,49,172.24,"19,462.93",113,176.47,165.94
Beau Hossler,71,172.23,"63,552.06",369,177.03,158.47
Sam Ryder,74,172.19,"34,954.57",203,178.11,161.27
Sung Kang,73,172.19,"33,921.10",197,178.75,164.53
Joseph Bramlett,57,171.94,"17,366.11",101,176.95,164.72
Keegan Bradley,68,171.74,"31,084.23",181,177.22,163.97
Sungjae Im,94,171.72,"112,474.81",655,180.03,149.90
Stewart Cink,51,171.67,"31,244.63",182,177.03,161.73
Mackenzie Hughes,70,171.65,"43,427.18",253,177.83,165.68
Harry Higgs,83,171.51,"46,135.35",269,179.17,157.31
Ryan Palmer,68,171.42,"37,712.28",220,175.74,166.14
Byeong Hun An,75,171.35,"88,075.55",514,178.31,161.83
Martin Laird,39,171.35,"17,477.59",102,177.19,164.98
Rickie Fowler,44,171.21,"56,157.71",328,176.11,158.62
Scott Stallings,71,171.18,"26,362.04",154,177.28,164.59
Sepp Straka,70,171.14,"35,597.85",208,176.71,162.59
Lucas Glover,67,171.04,"61,401.85",359,184.03,158.11
Emiliano Grillo,69,171.03,"28,561.19",167,175.73,164.15
Tyrrell Hatton,42,171.03,"25,825.95",151,175.62,162.79
Justin Rose,38,170.89,"49,729.80",291,179.21,157.86
Matthew NeSmith,72,170.87,"29,048.48",170,177.68,162.75
Dylan Frittelli,82,170.78,"40,474.41",237,182.21,164.00
Patton Kizzire,55,170.74,"25,611.74",150,175.95,162.57
Branden Grace,43,170.73,"50,364.80",295,181.84,163.07
Billy Horschel,79,170.51,"40,751.33",239,175.15,165.12
Danny Lee,69,170.50,"36,486.72",214,176.65,161.01
Robert Streb,54,170.45,"32,726.04",192,174.93,161.63
Xinjun Zhang,77,170.40,"37,827.70",222,175.99,159.11
Roger Sloan,55,170.37,"52,815.98",310,176.99,163.60
Charley Hoffman,63,170.30,"68,629.94",403,182.18,159.14
Danny Willett,40,170.28,"20,093.27",118,175.09,164.16
Doc Redman,82,170.08,"43,199.17",254,173.74,164.57
Harold Varner III,74,169.98,"75,981.45",447,175.62,146.17
Chesson Hadley,62,169.90,"23,785.83",140,174.78,146.79
Russell Knox,67,169.87,"31,085.77",183,176.39,161.84
Nelson Ledesma,42,169.83,"14,266.08",84,173.53,163.35
Denny McCarthy,81,169.81,"73,525.89",433,174.84,159.07
Hank Lebioda,57,169.63,"24,087.95",142,174.07,164.92
Michael Gellerman,46,169.54,"15,937.07",94,174.68,157.84
Si Woo Kim,78,169.47,"40,672.21",240,176.67,162.04
K.H. Lee,76,169.41,"36,254.15",214,173.76,163.08
Cameron Smith,64,169.25,"70,576.51",417,185.48,149.50
Louis Oosthuizen,48,169.23,"61,937.94",366,175.50,154.17
J.T. Poston,78,169.21,"80,036.28",473,176.36,162.78
Pat Perez,59,169.15,"51,589.24",305,175.88,157.95
Viktor Hovland,74,168.99,"98,687.70",584,176.06,159.69
Bill Haas,46,168.98,"19,770.52",117,173.30,162.57
Zack Sucher,38,168.83,"29,883.04",177,174.78,159.45
D.J. Trahan,49,168.81,"17,387.67",103,173.46,163.38
Dominic Bozzelli,38,168.60,"24,784.63",147,173.40,155.23
Richy Werenski,60,168.47,"30,998.64",184,173.61,162.27
Matt Fitzpatrick,54,168.40,"70,222.12",417,177.99,153.88
Kevin Streelman,73,168.16,"78,697.16",468,173.09,143.02
Collin Morikawa,80,168.10,"41,858.08",249,173.52,158.96
Adam Hadwin,65,168.10,"82,199.06",489,176.70,152.68
Josh Teater,43,168.05,"35,626.36",212,173.33,157.09
Henrik Norlander,74,167.94,"29,390.07",175,171.42,162.61
Doug Ghim,44,167.89,"15,614.17",93,171.81,163.14
Scott Piercy,66,167.87,"66,642.75",397,175.02,148.50
J.J. Spaun,62,167.83,"27,187.99",162,173.51,163.12
Bronson Burgoon,55,167.80,"45,306.12",270,179.47,158.05
Abraham Ancer,74,167.78,"79,357.63",473,177.23,159.07
Anirban Lahiri,35,167.76,"12,078.95",72,173.91,160.17
Matt Every,47,167.72,"23,145.72",138,174.29,158.42
Jim Herman,60,167.67,"47,450.89",283,173.82,152.07
Ben Martin,38,167.62,"19,778.75",118,171.95,160.14
Joel Dahmen,79,167.57,"91,493.83",546,173.33,151.25
Tom Hoge,74,167.51,"38,861.19",232,171.74,162.10
Webb Simpson,52,167.49,"65,488.22",391,174.85,152.13
Troy Merritt,72,167.47,"74,524.14",445,173.27,141.69
Peter Malnati,61,167.40,"64,953.07",388,173.84,154.35
Kramer Hickok,51,167.15,"35,268.11",211,174.41,158.02
Chris Baker,53,167.07,"21,384.33",128,173.30,159.30
"Ted Potter, Jr.",46,166.97,"23,041.21",138,172.62,155.08
Bud Cauley,65,166.93,"73,449.73",440,174.31,146.65
Bo Hoag,71,166.89,"46,894.73",281,173.11,156.83
Aaron Baddeley,49,166.74,"27,344.92",164,172.50,160.44
Robby Shelton,75,166.64,"36,493.32",219,173.81,159.93
James Hahn,36,166.58,"28,484.99",171,173.21,157.54
Mark Hubbard,86,166.58,"78,794.19",473,173.04,159.04
Chase Seiffert,56,166.54,"38,970.18",234,172.94,157.76
Austin Cook,64,166.35,"63,046.16",379,172.14,157.59
Brice Garnett,58,166.30,"26,441.58",159,171.33,159.55
Kevin Na,71,166.27,"61,019.98",367,174.38,156.28
Adam Long,88,166.02,"42,998.10",259,171.92,158.14
Kevin Kisner,73,165.94,"72,016.10",434,172.57,155.91
Cameron Percy,49,165.91,"35,670.68",215,172.53,159.15
Scott Brown,64,165.90,"29,861.93",180,173.64,159.84
Mark Anderson,51,165.78,"17,904.27",108,171.16,157.56
Bo Van Pelt,45,165.62,"43,890.09",265,183.45,158.27
Rafa Cabrera Bello,53,165.57,"58,114.80",351,173.14,158.75
Wes Roach,42,165.49,"22,341.65",135,173.10,150.08
Russell Henley,67,165.44,"36,728.22",222,170.00,155.49
Nick Taylor,59,165.42,"58,887.74",356,170.05,159.20
Ian Poulter,48,165.36,"26,457.72",160,168.56,158.43
C.T. Pan,56,165.06,"66,188.64",401,170.58,146.84
Jason Dufner,62,164.80,"76,798.94",466,171.85,153.50
Chris Stroud,48,164.67,"50,883.15",309,171.40,155.67
Michael Thompson,62,164.44,"37,821.60",230,169.22,157.32
Nate Lashley,52,164.36,"49,307.97",300,171.61,154.92
Rory Sabbatini,66,164.23,"75,710.66",461,180.00,157.76
Brian Harman,78,163.95,"98,372.24",600,169.98,152.26
Zach Johnson,61,163.94,"59,838.95",365,169.53,155.55
Rob Oppenheim,65,163.86,"27,365.29",167,170.54,155.13
Tyler Duncan,83,163.84,"84,049.34",513,176.19,154.84
Kyle Stanley,57,163.74,"27,181.12",166,169.46,155.97
Andrew Landry,63,163.74,"75,156.37",459,172.13,158.25
Graeme McDowell,48,163.57,"42,855.85",262,172.21,154.97
Fabián Gómez,59,163.39,"22,221.02",136,167.99,155.18
Andrew Putnam,46,163.38,"17,481.91",107,171.52,156.08
Matt Kuchar,56,163.14,"67,867.19",416,169.43,154.96
Brian Gay,67,162.43,"34,435.78",212,167.09,155.65
Ryan Moore,48,162.35,"23,216.68",143,167.14,154.55
Brandt Snedeker,53,162.29,"67,026.02",413,170.13,153.91
Arjun Atwal,35,161.80,"13,752.87",85,166.03,154.20
Chez Reavie,77,160.99,"74,055.75",460,190.12,149.53
Vaughn Taylor,61,160.63,"47,707.71",297,168.85,154.99
Zac Blair,70,160.06,"65,623.01",410,168.39,153.59
Ryan Armour,60,159.93,"60,295.16",377,166.20,153.86
Tim Wilkinson,50,159.88,"38,531.47",241,166.00,151.69
Brendon Todd,86,158.96,"77,093.84",485,164.64,150.81
Brian Stuard,83,158.60,"78,983.17",498,164.41,142.67
Jim Furyk,39,157.99,"43,762.61",277,163.77,150.98
David Hearn,55,157.98,"21,485.78",136,164.10,150.93
