PLAYER,PUTTING FROM - 15-20'_ROUNDS,PUTTING FROM - 15-20'_% MADE,PUTTING FROM - 15-20'_ATTEMPTS,PUTTING FROM - 15-20'_PUTTS_MADE
Anirban Lahiri,35,31.91,47,15
Vincent Whaley,40,31.82,44,14
Ian Poulter,48,31.08,74,23
Peter Malnati,61,30.95,84,26
Zack Sucher,38,28.95,38,11
Dominic Bozzelli,38,28.95,38,11
J.J. Spaun,62,27.66,94,26
Kevin Chappell,41,27.40,73,20
Andrew Putnam,46,27.27,55,15
Maverick McNealy,80,27.05,122,33
Branden Grace,43,26.79,56,15
Chris Stroud,48,26.56,64,17
Webb Simpson,52,26.53,98,26
Brandon Hagy,50,26.03,73,19
Denny McCarthy,81,25.93,135,35
Dustin Johnson,49,25.53,94,24
Gary Woodland,62,25.45,110,28
Brendan Steele,68,24.73,93,23
Patton Kizzire,55,24.72,89,22
David Hearn,55,24.69,81,20
Brendon Todd,86,24.63,134,33
Justin Rose,38,24.56,57,14
Carlos Ortiz,72,24.43,131,32
Chesson Hadley,62,24.24,99,24
Scottie Scheffler,82,24.14,145,35
Austin Cook,64,24.05,79,19
Troy Merritt,72,23.53,119,28
Louis Oosthuizen,48,23.46,81,19
Cam Davis,62,23.46,81,19
Roger Sloan,55,23.44,64,15
Mark Hubbard,86,23.40,141,33
"Ted Potter, Jr.",46,23.33,60,14
Stewart Cink,51,23.23,99,23
Patrick Cantlay,46,23.08,78,18
Matt Kuchar,56,22.92,96,22
Nelson Ledesma,42,22.86,35,8
Rory McIlroy,60,22.83,92,21
Kevin Streelman,73,22.81,114,26
Sam Ryder,74,22.76,123,28
J.T. Poston,78,22.76,123,28
Jason Day,53,22.67,75,17
Jim Furyk,39,22.50,80,18
Scott Harrington,68,22.45,98,22
Martin Trainer,48,22.41,58,13
Harry Higgs,83,22.39,134,30
Brian Gay,67,22.34,94,21
Matt Wallace,44,21.95,82,18
Wyndham Clark,65,21.92,73,16
Harris English,76,21.85,119,26
Justin Thomas,66,21.67,120,26
Peter Uihlein,47,21.62,74,16
Rafa Cabrera Bello,53,21.52,79,17
Cameron Percy,49,21.43,56,12
Grayson Murray,36,21.43,56,12
Beau Hossler,71,21.43,98,21
Doc Redman,82,21.43,154,33
Tim Wilkinson,50,21.31,61,13
Tommy Fleetwood,40,21.28,47,10
Nick Watney,46,21.05,76,16
Jon Rahm,58,21.05,95,20
Dylan Frittelli,82,21.01,119,25
Xander Schauffele,70,20.97,124,26
Kris Ventura,48,20.93,43,9
Brian Stuard,83,20.91,110,23
Richy Werenski,60,20.91,110,23
Fabián Gómez,59,20.83,72,15
Marc Leishman,61,20.79,101,21
Matt Fitzpatrick,54,20.69,87,18
Corey Conners,74,20.66,121,25
