PLAYER,TOTAL 1 PUTTS - 5-10'_ROUNDS,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
Sebastián Muñoz,84,173,562,30.8
Brendon Todd,86,162,580,27.9
Collin Morikawa,80,158,520,30.4
Lanto Griffin,96,154,591,26.1
Harris English,76,153,478,32.0
Mark Hubbard,86,152,538,28.3
Sungjae Im,94,149,592,25.2
Tyler Duncan,83,148,496,29.8
Patrick Rodgers,95,147,519,28.3
Tom Hoge,74,146,477,30.6
Kevin Na,71,146,477,30.6
Talor Gooch,83,145,526,27.6
Brian Harman,78,141,547,25.8
Patrick Reed,74,135,522,25.9
Brian Stuard,83,134,476,28.2
Xander Schauffele,70,133,458,29.0
Adam Long,88,133,498,26.7
Denny McCarthy,81,132,474,27.8
Bryson DeChambeau,62,131,482,27.2
Danny Lee,69,130,411,31.6
Daniel Berger,64,129,447,28.9
Matthew Wolff,74,127,454,28.0
J.T. Poston,78,127,478,26.6
Joaquin Niemann,76,127,455,27.9
Harry Higgs,83,127,486,26.1
Sam Burns,60,126,381,33.1
Doc Redman,82,125,469,26.7
Scott Stallings,71,125,359,34.8
Matt Jones,76,124,444,27.9
Ryan Palmer,68,123,445,27.6
Mackenzie Hughes,70,122,465,26.2
Billy Horschel,79,122,432,28.2
Maverick McNealy,80,121,431,28.1
Viktor Hovland,74,120,411,29.2
Scottie Scheffler,82,120,506,23.7
Sepp Straka,70,118,426,27.7
Abraham Ancer,74,117,421,27.8
Bud Cauley,65,117,411,28.5
Si Woo Kim,78,116,449,25.8
K.H. Lee,76,116,404,28.7
Matthew NeSmith,72,114,363,31.4
Dylan Frittelli,82,114,488,23.4
Keegan Bradley,68,112,370,30.3
Webb Simpson,52,112,392,28.6
Sung Kang,73,112,417,26.9
Joel Dahmen,79,111,473,23.5
Brendan Steele,68,110,405,27.2
Kevin Kisner,73,110,432,25.5
Charley Hoffman,63,110,343,32.1
Cameron Smith,64,109,422,25.8
Russell Henley,67,109,379,28.8
Kevin Streelman,73,109,394,27.7
Adam Schenk,78,108,403,26.8
Jon Rahm,58,107,421,25.4
Byeong Hun An,75,107,433,24.7
Carlos Ortiz,72,107,452,23.7
Cameron Champ,70,106,418,25.4
Bubba Watson,66,106,392,27.0
Sam Ryder,74,105,401,26.2
Hideki Matsuyama,74,105,435,24.1
Michael Thompson,62,105,400,26.3
Henrik Norlander,74,105,374,28.1
