PLAYER,TOTAL 1 PUTTS - 5-10'_ROUNDS,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
Rory McIlroy,60,105,374,28.1
Zach Johnson,61,105,384,27.3
Max Homa,70,104,411,25.3
Justin Thomas,66,104,436,23.9
Troy Merritt,72,104,392,26.5
Zac Blair,70,103,373,27.6
Harold Varner III,74,103,391,26.3
Adam Hadwin,65,103,375,27.5
Xinjun Zhang,77,102,427,23.9
Brandt Snedeker,53,102,364,28.0
Brian Gay,67,102,357,28.6
Keith Mitchell,64,101,361,28.0
Bronson Burgoon,55,101,335,30.1
Corey Conners,74,100,380,26.3
Gary Woodland,62,100,381,26.2
Rory Sabbatini,66,100,370,27.0
Scott Harrington,68,99,376,26.3
Luke List,69,99,377,26.3
Tony Finau,72,98,432,22.7
Nate Lashley,52,98,326,30.1
Jason Dufner,62,98,365,26.8
Wyndham Clark,65,97,366,26.5
Patrick Cantlay,46,97,328,29.6
Cameron Tringale,63,97,383,25.3
Robby Shelton,75,96,379,25.3
Dustin Johnson,49,96,346,27.7
Marc Leishman,61,96,368,26.1
Lucas Glover,67,96,345,27.8
Jason Kokrak,62,95,347,27.4
Nick Taylor,59,93,347,26.8
Cam Davis,62,92,324,28.4
Chez Reavie,77,92,384,24.0
Stewart Cink,51,92,302,30.5
Martin Trainer,48,90,294,30.6
Jordan Spieth,62,90,363,24.8
Andrew Landry,63,90,393,22.9
Scott Brown,64,90,348,25.9
Charles Howell III,69,90,341,26.4
Matt Fitzpatrick,54,89,334,26.6
Louis Oosthuizen,48,89,297,30.0
Scott Piercy,66,89,357,24.9
Vaughn Taylor,61,89,336,26.5
Peter Malnati,61,88,363,24.2
Bo Hoag,71,88,300,29.3
Matt Kuchar,56,88,359,24.5
Richy Werenski,60,87,357,24.4
Chesson Hadley,62,87,322,27.0
Beau Hossler,71,86,344,25.0
Rickie Fowler,44,86,304,28.3
Patton Kizzire,55,85,345,24.6
Matt Every,47,85,268,31.7
Alex Noren,60,85,328,25.9
Rob Oppenheim,65,84,298,28.2
Hank Lebioda,57,82,264,31.1
Paul Casey,56,82,287,28.6
Austin Cook,64,81,328,24.7
J.J. Spaun,62,81,342,23.7
Ian Poulter,48,81,311,26.0
Ryan Armour,60,81,302,26.8
Russell Knox,67,80,323,24.8
Jim Herman,60,78,327,23.9
Graeme McDowell,48,78,258,30.2
Pat Perez,59,77,267,28.8
Aaron Baddeley,49,77,277,27.8
Andrew Putnam,46,75,240,31.3
C.T. Pan,56,75,262,28.6
Chase Seiffert,56,74,248,29.8
Brooks Koepka,40,74,265,27.9
Fabián Gómez,59,74,274,27.0
Rafa Cabrera Bello,53,74,296,25.0
Emiliano Grillo,69,73,293,24.9
Brice Garnett,58,73,291,25.1
Jhonattan Vegas,52,73,244,29.9
Matt Wallace,44,72,290,24.8
Phil Mickelson,51,72,287,25.1
Shane Lowry,44,71,241,29.5
Ryan Moore,48,71,249,28.5
Roger Sloan,55,70,258,27.1
Nick Watney,46,70,242,28.9
Mark Anderson,51,69,255,27.1
Kyle Stanley,57,69,278,24.8
Chris Stroud,48,69,268,25.7
Tyrrell Hatton,42,67,256,26.2
Kevin Tway,52,67,230,29.1
Ryan Brehm,52,67,192,34.9
Jason Day,53,66,299,22.1
"Ted Potter, Jr.",46,65,232,28.0
Jimmy Walker,46,65,280,23.2
Michael Gligic,52,64,237,27.0
Justin Rose,38,64,250,25.6
Cameron Percy,49,64,225,28.4
Danny Willett,40,63,244,25.8
Brandon Hagy,50,61,241,25.3
Peter Uihlein,47,61,210,29.0
Kramer Hickok,51,60,233,25.8
Chris Baker,53,59,203,29.1
Kevin Chappell,41,59,229,25.8
Branden Grace,43,59,235,25.1
Sergio Garcia,44,59,227,26.0
Vincent Whaley,40,57,209,27.3
Kris Ventura,48,57,197,28.9
Sebastian Cappelen,55,57,249,22.9
Tyler McCumber,57,56,230,24.3
Aaron Wise,49,53,208,25.5
David Hearn,55,53,249,21.3
Rhein Gibson,54,52,227,22.9
Adam Scott,38,52,219,23.7
Ben Taylor,44,51,181,28.2
Grayson Murray,36,51,219,23.3
Martin Laird,39,50,189,26.5
Jim Furyk,39,50,212,23.6
Dominic Bozzelli,38,49,183,26.8
Michael Gellerman,46,48,208,23.1
Tim Wilkinson,50,48,212,22.6
Bill Haas,46,48,210,22.9
Doug Ghim,44,47,164,28.7
Joseph Bramlett,57,47,260,18.1
Tommy Fleetwood,40,47,202,23.3
Josh Teater,43,47,177,26.6
Nelson Ledesma,42,45,169,26.6
Ben Martin,38,45,156,28.8
James Hahn,36,45,170,26.5
Seamus Power,36,45,147,30.6
Bo Van Pelt,45,45,187,24.1
D.J. Trahan,49,42,208,20.2
Robert Streb,54,41,201,20.4
Anirban Lahiri,35,41,156,26.3
Zack Sucher,38,36,155,23.2
Wes Roach,42,33,136,24.3
Will Gordon,36,30,122,24.6
Arjun Atwal,35,28,120,23.3
