PLAYER,APEX_HEIGHT_ROUNDS,APEX_HEIGHT_AVG,TOTAL APEX HEIGHT,APEX_HEIGHT_TOTAL ATTEMPTS,HIGHEST APEX POINT,LOWEST APEX POINT
Luke List,69,"102' 5""","75' 1""",196,"139' 6""",0000000675
Justin Thomas,66,"102' 3""",7689',173,"155' 2""",0000000570
Michael Thompson,62,"102' 0""","3457' 4""",230,"133' 5""",0000000925
Denny McCarthy,81,"101' 11""","4136' 0""",433,"144' 11""",0000000092
Doc Redman,82,"101' 10""","5857' 8""",254,"139' 6""",0000000811
Zach Johnson,61,"101' 10""","7155' 4""",365,"150' 8""",0000000716
Bubba Watson,66,"101' 9""","455' 2""",496,"175' 1""",0000000333
Peter Malnati,61,"101' 9""",9467',388,"137' 11""",0000000785
Sam Ryder,74,"101' 9""","650' 0""",203,"136' 3""",0000000752
Martin Laird,39,"101' 8""","369' 10""",102,"129' 10""",0000000851
Jhonattan Vegas,52,"101' 4""","1789' 9""",215,"172' 7""",0000000583
Louis Oosthuizen,48,"101' 4""","7086' 9""",366,"179' 1""",0000000648
Sebastian Cappelen,55,"101' 1""","3340' 6""",132,"159' 10""",0000000359
Richy Werenski,60,"101' 1""","8599' 8""",184,"136' 5""",0000000784
Mark Anderson,51,"100' 10""","889' 4""",108,"129' 7""",0000000373
Sam Burns,60,"100' 9""",2116',418,"150' 3""",0000000027
Paul Casey,56,"100' 6""","6075' 0""",160,"139' 5""",0000000755
Adam Scott,38,"100' 3""","1933' 7""",119,"133' 1""",0000000027
Patrick Rodgers,95,"100' 3""",6566',265,"159' 2""",0000000425
Matthew NeSmith,72,"100' 1""","7008' 6""",170,"139' 5""",0000000481
Chris Baker,53,"100' 1""",2808',128,"133' 8""",0000000469
Cameron Smith,64,"99' 11""","1680' 1""",417,"148' 0""",0000000507
Charley Hoffman,63,"99' 10""","243' 11""",403,"143' 5""",0000000537
Chris Stroud,48,"99' 9""","814' 6""",309,"150' 8""",0000000590
Sungjae Im,94,"99' 9""","5310' 2""",655,"159' 8""",0000000215
Brandon Hagy,50,"99' 8""",2856',129,"166' 4""",0000000475
Will Gordon,36,"99' 8""","7178' 7""",72,"132' 10""",0000000826
Brandt Snedeker,53,"99' 6""",1105',413,"135' 10""",0000000049
Brice Garnett,58,"99' 3""","5776' 1""",159,"146' 6""",0000000735
Brian Gay,67,"99' 1""","1012' 5""",212,"133' 11""",0000000594
Michael Gligic,52,"99' 0""","3764' 5""",139,"131' 5""",0000000652
Tom Hoge,74,"98' 9""","2907' 5""",232,"126' 10""",0000000690
Shane Lowry,44,"98' 5""","9807' 9""",303,"164' 0""",0000000239
Cameron Champ,70,"98' 4""","450' 4""",208,"178' 9""",0000000180
Emiliano Grillo,69,"98' 3""","6402' 7""",167,"141' 4""",0000000516
Carlos Ortiz,72,"98' 3""","3704' 8""",445,"152' 5""",0000000140
Brian Harman,78,"98' 2""","8887' 9""",600,"146' 0""",0000000052
David Hearn,55,"97' 10""",3300',136,"131' 2""",0000000662
Rory Sabbatini,66,"97' 3""","4816' 2""",461,"164' 5""",0000000587
Andrew Landry,63,"97' 2""","4616' 7""",459,"137' 3""",0000000736
Harris English,76,"97' 0""","5124' 7""",259,"131' 11""",0000000472
